CATALOGUENUMBER;SPECIESSUMMARY;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECISID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110
9992923;Apha_subt;scientific;soil;NA;557150;100903;NA;5;557277;150077;710;lisiere;NA;NA;NA;NA;TS;Aphaenogaster;Apha_subt;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;2;4;1;941;785;3082;65663;2355;-193;2548;1580;497;1760;279;151507;14956;9674;1325;43077;32729;42953;33480
9993099;Apha_subt;scientific;soil;NA;557150;100903;NA;7;557276;150076;710;lisiere;NA;NA;NA;NA;TS;Aphaenogaster;Apha_subt;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;2;4;1;941;785;3082;65663;2355;-193;2548;1580;497;1760;279;151507;14956;9674;1325;43077;32729;42953;33480
12388C;Apha_subt;public;NA;oui;NA;NA;Roche (VD);1;560763;135055;389;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3724B;Apha_subt;public;NA;oui;NA;NA;Roche (VD);2;561171;134540;416;transport;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4430C;Apha_subt;public;NA;non;NA;NA;Lausanne;1;537377;151705;418;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2020;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7669C;Apha_subt;public;NA;oui;NA;NA;Yvorne;1;563293;130872;428;CulturePerm;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9174D;Apha_subt;public;NA;non;NA;NA;Prangins;NA;507910;138342;413;ZoneConstruite;NA;1;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9844B;Apha_subt;public;NA;non;NA;NA;Blonay;3;558432;146540;663;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16606;Camp;public;NA;NA;NA;NA;Tévenon;1;539967;190118;1009;NA;NA;NA;NA;NA;NA;Camp;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16743;Camp_lign;public;NA;NA;NA;NA;Tévenon;1;539166;190141;1159;NA;NA;NA;NA;NA;NA;Camp;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16830;Camp_herc;public;NA;NA;NA;NA;Baulmes;1;527546;182431;1203;NA;NA;NA;NA;NA;NA;Camp;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16854;Camp_lign;public;NA;NA;NA;NA;Tévenon;1;539348;190209;1160;NA;NA;NA;NA;NA;NA;Camp;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17162;Camp_herc;public;NA;NA;NA;NA;Ormont-Dessous;NA;573488;139954;1496;NA;NA;NA;NA;NA;NA;Camp;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17296;Camp_herc;public;NA;NA;NA;NA;Ormont-Dessous;NA;573488;139954;1496;NA;NA;NA;NA;NA;NA;Camp;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17350;Camp_herc;public;NA;NA;NA;NA;Gimel;NA;509333;155167;1334;NA;NA;NA;NA;NA;NA;Camp;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17467;Camp_herc;public;NA;NA;NA;NA;Ormont-Dessous;NA;573488;139954;1496;NA;NA;NA;NA;NA;NA;Camp;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5988;Camp_aeth;public;NA;oui;NA;NA;Ollon;2;564501;127125;430;Carriere;NA;NA;NA;NA;Anne Freitag;Camp;Camp_aeth;2019;oui;Camp_aeth;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1212;Camp_fall;public;NA;non;NA;NA;Bourg-en-Lavaux;1;545565;148625;372;lisiere;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
